id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week30,week31,week32,week33,week34,week35,week36,clustered_label
102208005.0,6114,6114,6113,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,1600,6114,6114,6114,6114,6114,6114,6114,40
102208004.0,6114,6112,6620,6114,6120,5400,6114,6620,6115,6114,6450,6160,6114,6150,6160,6114,6250,6250,6114,6160,5600,6114,5300,6330,6114,6114,6120,5600,6116,6114,6114,6114,6160,6114,5600,6350,26
102208002.0,6114,6114,6114,6114,6113,6220,6114,6114,6115,6113,6113,6116,6114,6113,6114,6114,6114,6140,6114,6114,6114,6114,5400,6114,6114,6114,6150,6150,6120,6114,6114,6160,6240,6114,6210,6114,26
102208001.0,6112,6116,6115,6250,6620,5600,6114,6120,6113,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6120,6350,6114,6114,6440,6260,6114,6114,6659,6114,6114,6114,6459,6114,26
102205095.0,6114,6113,6140,6114,6115,6114,6115,6113,6114,6116,6140,6114,6116,6160,6116,6114,6114,6114,6115,6115,6114,6160,6160,6114,6160,6114,6113,6115,6114,6114,6114,6113,6113,6114,6113,6114,26
102205092.0,6114,6114,6140,6115,6640,6629,6114,6140,6114,6114,6116,6250,6116,6116,6115,6114,6114,5600,6114,6140,6114,6114,1200,6120,6113,6160,6114,5100,6114,6114,6114,6114,6114,6114,4200,6116,80
102205081.0,6114,6114,6160,6114,6114,6114,6114,6114,6114,6114,6114,3600,6114,6114,6114,6114,6114,6130,6520,6120,6310,6114,6114,6550,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6120,30
102205051.0,6114,6114,6150,6114,6113,6113,6114,6113,6114,6114,6120,6130,6114,6114,6114,6114,3500,6520,6114,6509,6114,6114,5600,6120,6114,6160,6114,6120,6520,6114,6114,6160,6220,6114,6330,6114,26
102205033.0,6114,6113,6114,6113,6114,6114,6116,6114,6116,6114,6116,6559,6114,6116,6116,6114,6114,6130,6114,6114,5400,6114,6114,6114,6114,6114,6114,6114,6520,6114,6114,6114,6114,6115,6114,6114,26
102205030.0,6114,6113,6113,6114,6620,2220,6114,6113,6113,6115,6113,6112,6114,6114,6114,6114,6115,6659,6114,5300,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,24
102205024.0,6114,6113,6140,6113,6114,6115,6114,6113,6240,6113,6113,6114,6113,6115,6114,6113,6114,6114,6113,6114,6114,2100,6114,6130,6113,6140,6116,6114,6240,6115,6114,6114,6113,6113,6114,6114,26
102205022.0,6114,6112,6409,6113,6114,1600,6114,6459,6114,6114,6113,6111,6114,6114,6114,6114,6114,6130,6112,6114,6114,6120,6114,6114,6114,6114,6114,6114,6112,6114,6114,6114,6114,6114,6114,6114,24
102205020.0,6114,6114,6250,6659,6114,5100,6114,6113,6114,6114,6114,6640,6114,6114,6114,6114,6114,3500,6114,6112,6114,6114,6114,6520,6114,6114,6114,6115,6550,6114,6114,6114,6114,6114,2260,6114,70
102205017.0,6114,6115,6160,6160,6160,6113,6150,6114,6113,6160,6114,6113,6150,6113,6114,6160,6114,6114,6150,6150,6114,6113,6114,6114,6114,6114,6160,6114,6150,6114,6114,6113,6114,6114,6114,6114,26
102103012.0,6114,6140,6113,6113,1600,6430,6116,6550,3500,6140,6114,6130,6116,6116,6114,6114,6114,6559,6140,6114,6114,6114,6114,6114,6114,6115,6350,6114,6114,6114,6114,6114,6115,6114,6114,6114,21
101502012.0,6114,6115,6116,6113,6120,6350,6113,6114,6116,6115,6116,6160,6114,6114,6116,6113,6114,6160,6114,6140,6114,6115,6113,6520,6113,6114,6113,6115,6360,6114,6114,6114,6160,6114,6115,5400,26
101401042.0,6114,6114,6113,6114,6114,5600,6115,6114,6114,6114,6114,5600,6114,6114,6114,6114,6115,6114,6114,6114,6114,6114,5600,6114,6114,6114,6114,6115,5400,6114,6114,6114,6114,6114,1600,6114,70
101209037.0,6114,6114,6113,6116,5600,5600,6113,6111,6116,6160,6150,5300,6115,6114,6160,6114,6640,6350,6114,6330,6114,6113,6220,5300,6114,6114,6509,5400,5600,6115,6114,6330,6114,6114,5400,5400,23
101208094.0,6114,6114,6114,6140,6114,5600,6659,6114,6114,6116,6116,6340,6115,6114,6116,6140,6114,6220,6114,6115,6113,6114,5400,5100,6112,6114,6114,6140,6320,6114,6114,6114,6114,6114,1600,6360,70
101208091.0,6114,6116,6230,6140,6160,2230,6114,6114,6230,6114,6120,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6509,6114,6114,6114,6114,5600,6114,6114,6114,6114,6114,6114,6114,6114,24
101208090.0,6114,6113,6113,6114,6160,6620,6113,6210,2230,6160,6113,3200,6113,6114,6114,6114,6450,6114,6113,6113,6114,6116,2250,6114,6114,6140,6640,2210,6114,6114,6114,6114,6114,6114,6640,6114,60
101208084.0,6114,6114,6330,6112,6114,5600,6114,6114,6114,6113,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6112,5600,6114,6114,6114,5100,6112,6114,6114,5600,6114,6350,5100,6114,23
101208082.0,6114,6150,6114,6115,6330,5400,6114,6113,6114,6114,6150,3300,6114,6150,6140,6114,6114,6509,6114,6320,6120,6120,6340,6330,6114,6160,6220,5400,6520,6114,6114,6114,6114,6114,5400,6310,30
101208080.0,6114,6114,6116,6114,6160,6114,6114,6114,6114,6160,6113,6111,6114,6114,6113,6160,6113,6520,6114,6114,6114,2230,6113,6459,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,26
