index,id,clustered_label,0,1
0,101208087,5510,1,1
1,102205089,1653,1,1
2,101208066,2000,0,0
3,101208030,1653,1,1
4,102208075,6140,1,1
5,102205037,1419,1,1
6,102104031,1430,1,0
7,101208085,1653,1,1
8,101208069,1100,1,0
9,102208088,3540,1,1
10,102208081,1653,1,1
11,102208058,3520,1,1
12,102208049,6120,1,1
13,102208033,6120,1,1
14,102208008,1653,1,1
15,102207430,1652,1,1
16,101208074,1460,1,1
17,99304030,5629,1,1
18,99203054,1639,1,1
19,126267,1653,1,1
20,104850,1653,1,1
21,103302104,3100,1,1
22,103302103,5629,1,0
23,103258005,1658,1,1
24,102306046,5300,1,1
25,102306041,2000,0,0
26,102258003,4300,1,1
27,102209035,5610,1,1
28,102208090,1655,1,1
29,102208089,6500,1,1
30,102208086,1653,1,1
31,102208085,1655,1,1
32,102208084,1653,1,1
33,102208083,6140,1,1
34,102208082,1651,1,1
35,102208078,3240,1,1
36,102208074,3400,1,1
37,102208073,1210,1,1
38,102208070,1653,1,0
39,102208068,6120,1,1
40,102208066,3240,1,1
41,102208065,1653,1,1
42,102208064,1460,1,1
43,102208063,3310,1,1
44,102208062,1460,1,1
45,102208061,6400,1,1
46,102208060,1610,1,1
47,102208059,5539,1,1
48,102208057,4100,1,1
49,102208056,3210,1,1
50,102208055,1653,1,1
51,102208054,3540,1,1
52,102208053,6110,1,1
53,102208052,6400,1,1
54,102208046,6130,1,1
55,102208045,1440,1,1
56,102208044,6600,1,0
57,102208043,1660,1,1
58,102208042,1658,1,1
59,102208041,1240,1,0
60,102208038,1655,1,1
61,102208034,5510,1,1
62,102208032,3100,1,1
63,102208030,6300,1,0
64,102208029,1300,1,1
65,102208024,1220,1,1
66,102208023,1656,1,1
67,102208022,5529,1,1
68,102208021,1630,1,1
69,102208018,1653,1,1
70,102208017,1419,1,1
71,102208015,1660,1,1
72,102208014,5400,1,1
73,102208010,3530,1,1
74,102208007,5529,1,1
75,102208006,3339,1,1
76,102208005,1653,1,1
77,102208004,6110,1,0
78,102208002,1653,1,1
79,102208001,1653,1,1
80,102205095,1653,1,1
81,102205092,1658,1,1
82,102205081,5510,1,1
83,102205051,1409,0,0
84,102205033,1419,1,1
85,102205030,3229,1,1
86,102205024,1653,1,1
87,102205022,6110,1,1
88,102205020,6200,1,1
89,102205017,1653,1,1
90,102103012,4400,1,1
91,101502012,1653,1,1
92,101401042,1651,1,1
93,101302049,1653,1,1
94,101209037,1460,1,0
95,101208094,1500,1,1
96,101208091,6400,1,1
97,101208090,5520,1,1
98,101208084,1653,1,1
99,101208082,5100,1,1
100,101208080,1656,1,1
101,101208079,1653,1,1
102,101208078,1653,1,1
103,101208070,1653,1,1
104,101208065,1653,1,1
105,101208064,1300,1,1
106,101208062,1653,1,1
107,101208060,1450,1,1
108,101208058,5200,1,1
109,101208056,5620,1,0
110,101208055,1100,1,1
111,101208054,5620,1,1
112,101208053,1620,1,1
113,101208052,5620,1,1
114,101208050,5100,1,1
115,101208034,1653,1,1
116,101208031,1639,1,1
117,101208025,6600,1,1
118,101208017,4200,1,1
119,101208015,5620,1,1
120,101208013,1653,1,1
121,101208008,1653,1,1
122,101208005,1651,1,1
123,101208004,1651,1,1
124,101208003,1651,1,1
125,101208002,4200,1,1
126,101205093,3510,1,1
127,101205043,3600,1,1
128,101205029,1660,1,1
129,101204026,3339,1,1
130,101203054,5510,1,1
131,101203004,1653,1,1
132,101103034,1656,1,1
133,101102026,1653,1,1
134,101102025,1655,1,1
135,101101050,1653,1,1
136,100508018,2000,0,0
137,100401072,2000,0,0
138,100401044,5529,1,0
139,100208053,1651,1,1
140,100206009,1654,1,1
141,100202044,3600,1,1
142,100104041,3600,1,1
143,100101021,1653,1,1
