index,id,clustered_label,0,1
0,101208087,5510,1,0
1,102205089,1653,1,0
2,101208066,2000,0,0
3,101208030,1653,0,0
4,102208075,6140,1,0
5,102205037,1419,1,0
6,102104031,1430,1,0
7,101208085,1653,1,0
8,101208069,1100,1,0
9,102208088,3540,0,0
10,102208081,1653,0,0
11,102208058,3520,0,0
12,102208049,6120,0,0
13,102208033,6120,0,0
14,102208008,1653,0,0
15,102207430,1652,0,0
16,101208074,1460,0,0
17,99304030,5629,1,0
18,99203054,1639,1,0
19,126267,1653,1,1
20,104850,1653,0,0
21,103302104,3100,0,0
22,103302103,5629,1,0
23,103258005,1658,1,0
24,102306046,5300,1,0
25,102306041,2000,0,0
26,102258003,4300,0,0
27,102209035,5610,0,0
28,102208090,1655,0,0
29,102208089,6500,0,0
30,102208086,1653,0,0
31,102208085,1655,1,1
32,102208084,1653,1,0
33,102208083,6140,0,0
34,102208082,1651,1,0
35,102208078,3240,0,0
36,102208074,3400,0,0
37,102208073,1210,0,0
38,102208070,1653,0,0
39,102208068,6120,0,0
40,102208066,3240,0,0
41,102208065,1653,1,0
42,102208064,1460,1,0
43,102208063,3310,0,0
44,102208062,1460,1,0
45,102208061,6400,0,0
46,102208060,1610,0,0
47,102208059,5539,1,0
48,102208057,4100,0,0
49,102208056,3210,0,0
50,102208055,1653,1,0
51,102208054,3540,0,0
52,102208053,6110,0,0
53,102208052,6400,0,0
54,102208046,6130,1,0
55,102208045,1440,0,0
56,102208044,6600,0,0
57,102208043,1660,1,0
58,102208042,1658,0,0
59,102208041,1240,0,0
60,102208038,1655,0,0
61,102208034,5510,1,0
62,102208032,3100,0,0
63,102208030,6300,0,0
64,102208029,1300,1,0
65,102208024,1220,0,0
66,102208023,1656,0,0
67,102208022,5529,0,0
68,102208021,1630,0,0
69,102208018,1653,0,0
70,102208017,1419,0,0
71,102208015,1660,0,0
72,102208014,5400,0,0
73,102208010,3530,0,0
74,102208007,5529,0,0
75,102208006,3339,0,0
76,102208005,1653,0,0
77,102208004,6110,0,0
78,102208002,1653,1,1
79,102208001,1653,1,0
80,102205095,1653,0,0
81,102205092,1658,0,0
82,102205081,5510,1,0
83,102205051,1409,0,0
84,102205033,1419,0,0
85,102205030,3229,0,0
86,102205024,1653,1,0
87,102205022,6110,0,0
88,102205020,6200,0,0
89,102205017,1653,1,0
90,102103012,4400,1,0
91,101502012,1653,1,0
92,101401042,1651,1,0
93,101302049,1653,0,0
94,101209037,1460,1,0
95,101208094,1500,0,0
96,101208091,6400,0,0
97,101208090,5520,0,0
98,101208084,1653,1,0
99,101208082,5100,0,0
100,101208080,1656,0,0
101,101208079,1653,0,0
102,101208078,1653,0,0
103,101208070,1653,1,0
104,101208065,1653,0,0
105,101208064,1300,1,0
106,101208062,1653,1,0
107,101208060,1450,0,0
108,101208058,5200,0,0
109,101208056,5620,1,0
110,101208055,1100,1,0
111,101208054,5620,1,0
112,101208053,1620,0,0
113,101208052,5620,1,0
114,101208050,5100,0,0
115,101208034,1653,1,0
116,101208031,1639,0,0
117,101208025,6600,0,0
118,101208017,4200,0,0
119,101208015,5620,1,0
120,101208013,1653,1,0
121,101208008,1653,0,0
122,101208005,1651,1,0
123,101208004,1651,0,0
124,101208003,1651,0,0
125,101208002,4200,0,0
126,101205093,3510,0,0
127,101205043,3600,0,0
128,101205029,1660,0,0
