,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_99,week,id
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,week9,101205043
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,week10,101205043
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,week11,101205043
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,week12,101205043
4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,week13,101205043
5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,week14,101205043
6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,week15,101205043
7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,week16,101205043
8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,week17,101205043
9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,week18,101205043
