,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_99,week,id
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38888888899999996,0.611111111,0.0,week9,102103012
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38888888899999996,0.611111111,0.0,week10,102103012
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38888888899999996,0.611111111,0.0,week11,102103012
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38888888899999996,0.611111111,0.0,week12,102103012
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38888888899999996,0.611111111,0.0,week13,102103012
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38888888899999996,0.611111111,0.0,week14,102103012
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38888888899999996,0.611111111,0.0,week15,102103012
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38888888899999996,0.611111111,0.0,week16,102103012
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38888888899999996,0.611111111,0.0,week17,102103012
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38888888899999996,0.611111111,0.0,week18,102103012
