id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,clustered_label
none,13,13,13,13,13,50,13,13,13,13,13,13,13,13,40,13,13,13,6500
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,12,13,50,12,13,13,13,13,13,20,13,13,13,13,13,16,4200
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,15,13,13,13,13,13,16,13,13,13,13,13,13,1651
none,13,13,13,13,12,12,13,13,13,13,13,50,13,13,13,13,13,16,5620
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,15,13,13,13,13,13,60,13,13,13,13,13,20,5529
none,13,13,13,13,13,13,13,13,13,13,13,60,13,13,13,13,13,16,5510
none,13,13,13,13,11,13,13,13,13,13,50,13,13,13,12,13,13,13,1300
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,15,13,13,12,13,13,13,13,13,13,13,13,50,3600
none,13,13,13,13,50,50,13,13,13,13,13,16,13,13,13,13,13,13,4100
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,20,20,16,13,13,13,13,20,13,13,13,13,13,1652
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,15,13,13,13,13,13,13,1651
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,50,13,13,13,13,13,13,13,13,40,13,13,13,6500
none,13,13,13,13,13,50,13,13,13,13,13,13,13,13,40,13,13,13,6500
none,13,13,12,13,13,13,13,13,13,13,15,13,13,13,13,11,13,12,1653
none,13,13,13,13,13,11,13,13,13,13,13,13,13,13,13,13,13,13,1655
none,13,13,13,13,13,13,13,13,13,13,13,60,13,13,13,13,13,16,5510
none,13,13,13,11,13,13,13,13,13,13,50,13,12,13,13,13,13,60,3339
none,13,13,13,13,13,13,13,13,13,40,13,13,13,13,13,13,13,13,1630
none,13,13,13,12,13,50,13,13,13,13,13,20,13,13,13,13,13,20,6140
none,13,13,13,13,13,13,13,13,13,13,13,60,13,13,13,13,13,16,5510
none,13,13,13,13,13,13,13,13,20,13,13,13,13,13,13,13,13,13,1639
none,13,13,13,13,12,11,13,12,13,13,13,13,13,13,13,13,13,12,1655
none,13,13,13,13,13,13,13,13,13,40,13,13,13,13,13,13,13,13,1630
none,13,13,13,13,13,50,13,16,13,13,60,20,13,13,13,13,20,13,6600
none,13,13,12,13,13,40,13,13,12,13,13,13,13,13,13,13,13,13,6400
none,13,13,13,13,13,15,13,13,13,13,13,16,13,13,13,13,13,13,1651
none,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,16,1419
none,13,13,13,13,13,20,13,12,13,13,13,16,13,13,13,13,13,13,1654
none,13,13,13,13,13,13,13,13,20,13,13,13,13,13,13,13,13,13,1639
none,13,13,13,40,40,13,13,13,40,13,13,30,13,13,13,13,13,13,4300
none,13,13,13,13,13,13,13,13,13,13,13,60,13,13,13,13,13,16,5510
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,20,13,13,13,13,13,13,13,13,13,1639
none,13,13,12,13,13,50,13,13,13,13,13,60,13,13,13,13,13,13,5100
none,13,13,13,13,13,13,13,13,13,13,13,60,13,13,13,13,13,16,5510
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,14,13,40,40,13,12,13,13,13,20,13,13,13,13,13,50,3210
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,16,1419
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,11,13,13,13,13,13,50,13,13,13,12,13,13,13,1300
none,13,13,13,13,13,13,13,13,13,13,13,15,13,13,13,13,13,13,1651
none,13,13,13,13,13,11,13,11,14,13,13,13,13,13,13,13,13,11,1655
none,13,13,13,13,13,13,13,13,13,13,13,60,13,13,13,13,13,16,5510
none,13,13,13,13,13,13,13,13,20,13,13,13,13,13,13,13,13,13,1639
none,13,13,12,13,50,12,13,13,13,13,13,20,13,13,13,13,13,16,4200
none,13,13,13,13,13,16,13,13,13,13,60,13,13,13,13,13,13,60,3339
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,50,13,16,13,13,60,20,13,13,13,13,20,13,6600
none,13,13,13,13,13,13,13,13,13,13,13,15,13,13,13,13,13,13,1651
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,15,13,13,13,13,13,20,13,13,13,13,13,13,1460
none,13,13,40,13,13,13,13,13,13,13,13,16,13,13,13,13,13,16,1220
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,12,13,13,13,13,13,13,13,12,13,13,13,13,13,40,20,2000
none,13,13,13,13,13,13,13,13,13,13,13,15,13,13,13,13,13,13,1651
none,13,13,14,13,13,50,13,12,13,13,13,13,13,13,13,13,13,16,6110
none,13,13,12,13,50,12,13,13,13,13,13,20,13,13,13,13,13,16,4200
none,13,13,13,13,13,15,13,13,13,13,13,15,13,13,13,13,13,13,1651
none,13,13,13,13,13,50,13,13,13,13,13,13,13,13,40,13,13,13,6500
none,13,13,13,13,13,13,13,13,13,13,13,30,13,13,13,13,13,20,1450
none,13,13,13,13,13,11,13,13,13,13,13,13,13,13,13,13,13,13,1655
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,50,13,13,13,13,13,13,13,13,40,13,13,13,6500
none,13,13,13,13,13,13,13,13,13,13,13,15,13,13,13,13,13,13,1651
none,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,16,1419
none,13,13,13,13,11,13,13,13,13,13,50,13,13,13,12,13,13,13,1300
none,13,13,16,13,13,11,13,13,13,13,20,11,13,20,16,13,13,13,1660
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,20,13,12,13,13,13,16,13,13,13,13,13,13,1654
none,13,12,14,13,40,13,13,13,13,13,13,16,13,13,13,12,13,13,4200
none,13,13,13,13,13,50,13,16,13,13,60,20,13,13,13,13,20,13,6600
none,13,13,13,13,13,50,13,13,13,13,13,13,13,13,40,13,13,13,6500
none,13,13,13,13,13,13,13,13,13,13,13,60,13,13,13,13,13,16,5510
none,13,13,13,13,13,15,13,13,13,13,13,20,13,13,13,13,13,13,1460
none,13,13,13,13,13,13,13,13,13,40,13,13,13,13,13,13,13,13,1630
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,11,13,13,13,13,13,50,13,13,13,12,13,13,13,1300
none,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,16,1419
none,13,13,13,12,13,50,13,13,13,13,13,20,13,13,13,13,13,20,6140
none,13,13,13,13,50,50,13,13,13,13,13,16,13,13,13,13,13,13,4100
none,13,13,13,13,13,13,13,13,20,13,13,13,13,13,13,13,13,13,1639
none,13,13,13,13,13,50,13,13,13,13,13,13,13,13,40,13,13,13,6500
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,50,15,13,13,13,13,13,13,40,13,13,13,13,13,16,5400
none,13,13,13,13,13,15,13,13,12,13,13,13,13,13,13,13,13,50,3600
none,13,13,13,13,13,50,13,13,13,13,13,13,11,13,12,13,13,60,3240
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,13,16,20,20,13,13,13,1660
none,13,13,13,13,13,20,13,12,13,13,13,16,13,13,13,13,13,13,1654
none,13,13,13,12,13,13,13,13,13,13,50,20,13,40,13,40,13,40,3310
none,13,13,13,13,13,20,20,16,13,13,13,13,20,13,13,13,13,13,1652
none,13,13,13,13,13,11,13,13,13,13,13,13,13,13,13,13,13,13,1655
none,13,13,13,13,13,13,13,13,16,13,13,14,13,13,13,13,13,11,1656
none,13,13,13,13,13,15,40,13,13,13,13,16,13,13,13,13,13,12,1500
none,13,13,13,13,13,50,13,15,13,13,13,15,13,13,13,13,13,13,6120
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,50,15,13,13,13,13,13,13,40,13,13,13,13,13,16,5400
none,13,13,13,13,13,40,12,13,13,13,13,13,13,13,13,13,13,13,6400
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,12,13,40,13,13,13,13,13,13,5629
none,13,13,12,13,11,13,13,13,13,13,13,13,13,13,13,12,40,13,2000
none,13,13,13,13,13,50,13,13,13,13,13,50,13,13,13,13,13,50,3100
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,12,13,13,13,13,13,13,13,15,13,13,13,13,11,13,12,1653
none,13,13,13,14,13,15,13,13,13,13,13,13,13,13,13,13,13,13,1653
none,13,13,13,13,13,40,12,13,13,13,13,13,13,13,13,13,13,13,6400
none,13,13,13,13,13,50,13,15,13,13,13,15,13,13,13,13,13,13,6120
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,15,13,13,13,13,13,13,1651
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,11,13,13,13,13,13,50,13,13,13,12,13,13,13,1300
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,16,1419
none,13,13,13,13,13,11,13,13,13,13,13,13,13,13,13,13,13,13,1655
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,12,13,11,13,13,13,13,13,13,13,13,13,13,12,40,13,2000
none,13,13,13,13,13,13,13,13,13,13,13,60,13,13,13,13,13,16,5510
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,12,11,13,12,13,13,13,13,13,13,13,13,13,12,1655
none,13,13,13,13,13,50,13,13,13,13,13,15,13,13,13,13,13,13,6120
none,13,13,13,13,13,13,13,13,13,13,13,60,13,13,13,13,13,16,5510
none,13,13,13,13,13,13,13,13,13,13,13,15,13,13,13,13,13,13,1651
none,13,13,13,13,13,16,13,13,13,13,60,13,13,13,13,13,13,60,3339
none,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,16,1419
none,13,13,13,13,13,15,13,13,12,13,13,13,13,13,13,13,13,50,3600
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,15,13,13,13,13,13,13,1651
none,13,13,13,13,13,13,13,13,13,13,12,13,13,13,13,13,13,13,1653
none,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,16,1419
none,13,13,13,13,13,16,13,13,13,13,60,13,13,13,13,13,13,60,3339
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,14,13,15,13,13,13,13,13,13,13,13,13,13,13,13,1653
none,13,13,13,13,13,13,13,13,13,40,13,13,13,13,13,13,13,13,1630
none,13,13,13,13,13,50,13,16,13,13,60,20,13,13,13,13,20,13,6600
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,16,13,13,13,13,60,13,13,13,13,13,13,60,3339
none,13,13,40,13,13,13,13,13,13,13,13,16,13,13,13,13,13,16,1220
none,13,13,13,13,13,13,13,13,13,13,13,15,13,13,13,13,13,13,1651
none,13,13,13,13,11,13,13,13,13,13,50,13,13,13,12,13,13,13,1300
none,13,13,13,13,13,13,13,13,20,13,13,13,13,13,13,13,13,13,1639
none,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,16,1419
none,13,13,13,13,13,20,13,12,13,13,13,16,13,13,13,13,13,13,1654
none,13,13,13,13,13,13,13,13,13,13,13,60,13,13,13,13,13,16,5510
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,60,13,13,13,13,13,16,5510
none,13,13,13,13,13,11,13,13,13,13,13,13,13,13,13,13,13,13,1655
none,13,13,13,13,13,13,13,13,13,40,13,13,13,13,13,13,13,13,1630
none,13,13,13,13,13,50,13,13,13,13,13,13,13,13,40,13,13,13,6500
none,13,13,13,13,13,13,13,13,13,13,13,60,13,13,13,13,13,16,5510
none,13,13,13,13,13,11,13,11,14,13,13,13,13,13,13,13,13,11,1655
none,13,13,13,13,13,13,13,13,13,40,13,13,13,13,13,13,13,13,1630
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,16,1419
none,13,13,13,13,13,12,13,13,13,13,13,13,13,13,13,13,13,13,1653
none,13,12,14,13,40,13,13,13,13,13,13,16,13,13,13,12,13,13,4200
none,13,13,13,13,13,15,13,13,12,13,13,13,13,13,13,13,13,50,3600
none,13,13,13,13,13,11,13,13,13,13,13,13,13,13,13,13,13,13,1655
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,15,13,13,13,13,13,13,1651
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,15,13,13,13,13,13,13,1651
none,13,13,12,13,13,50,13,13,13,13,13,60,13,13,13,13,13,13,5100
none,13,13,13,13,13,13,13,13,13,13,13,13,16,20,20,13,13,13,1660
none,13,13,13,13,13,13,13,13,13,13,13,50,13,13,13,13,13,60,3400
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,20,13,13,13,13,13,13,13,13,13,1639
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,11,13,13,13,13,13,13,13,13,13,13,13,13,1655
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,40,12,13,13,13,13,13,13,13,13,13,13,13,6400
none,13,13,13,13,13,50,13,13,13,13,13,13,13,13,40,13,13,13,6500
none,13,13,13,13,13,20,13,12,13,13,13,16,13,13,13,13,13,13,1654
none,13,12,14,13,40,13,13,13,13,13,13,16,13,13,13,12,13,13,4200
none,13,13,13,13,13,13,13,13,13,13,13,13,16,20,20,13,13,13,1660
none,13,13,13,14,13,15,13,13,13,13,13,13,13,13,13,13,13,13,1653
none,13,13,12,13,13,50,13,13,13,13,13,16,13,13,13,13,13,13,6120
none,13,13,13,13,13,15,13,13,12,13,13,13,13,13,13,13,13,50,3600
none,13,13,13,13,13,15,13,13,13,13,13,60,13,13,13,13,13,20,5529
none,13,13,12,13,13,50,13,13,13,13,13,60,13,13,13,13,13,13,5100
none,13,13,13,14,13,15,13,13,13,13,13,13,13,13,13,13,13,13,1653
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,12,13,11,13,13,13,13,13,13,13,13,13,13,12,40,13,2000
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,50,13,13,13,13,13,60,3400
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,50,13,13,13,13,13,50,13,13,13,13,13,50,3100
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,50,13,13,13,13,13,13,13,13,40,13,13,13,6500
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,11,13,13,13,13,13,13,13,13,13,13,13,13,1655
none,13,12,14,13,40,13,13,13,13,13,13,16,13,13,13,12,13,13,4200
none,13,13,13,13,13,13,13,13,20,13,13,13,13,13,13,13,13,13,1639
none,13,13,13,13,13,13,13,13,13,13,13,15,13,13,13,13,13,13,1651
none,13,13,13,13,13,13,13,13,13,13,12,13,13,13,13,13,13,13,1653
none,13,13,13,13,13,15,13,13,12,13,13,13,13,13,13,13,13,50,3600
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,40,40,13,13,13,40,13,13,30,13,13,13,13,13,13,4300
none,13,13,13,13,13,15,13,13,12,13,13,13,13,13,13,13,13,50,3600
none,13,13,13,13,13,50,13,13,13,13,13,13,13,13,40,13,13,13,6500
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,50,13,16,13,13,60,20,13,13,13,13,20,13,6600
none,13,13,12,13,13,13,13,13,13,13,13,16,13,13,13,13,20,20,1409
none,13,13,13,13,13,11,13,13,13,13,13,13,13,13,13,13,13,13,1655
none,13,13,13,13,12,11,13,12,13,13,13,13,13,13,13,13,13,12,1655
none,13,13,13,13,13,13,13,13,13,13,13,60,13,13,13,13,13,16,5510
none,13,13,13,13,13,13,13,13,20,13,13,13,13,13,13,13,13,13,1639
none,13,13,13,13,13,40,12,13,13,13,13,13,13,13,13,13,13,13,6400
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,16,1419
none,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,16,1419
none,13,13,13,13,13,13,13,13,13,13,13,60,13,13,13,13,13,16,5510
none,13,13,13,13,13,40,13,13,13,13,15,20,13,13,12,13,13,16,6400
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,12,14,13,40,13,13,13,13,13,13,16,13,13,13,12,13,13,4200
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,60,13,13,13,13,13,16,5510
none,13,13,13,13,13,20,13,13,13,13,13,60,13,13,13,13,11,20,5529
none,13,13,13,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653
none,13,13,13,13,12,11,13,12,13,13,13,13,13,13,13,13,13,12,1655
none,13,13,13,13,13,40,12,13,13,13,13,13,13,13,13,13,13,13,6400
none,13,13,13,13,13,15,13,13,12,13,13,13,13,13,13,13,13,50,3600
none,13,12,13,13,13,12,14,16,16,13,13,60,16,13,13,13,14,13,5539
none,13,13,13,13,13,13,13,13,13,40,13,13,13,13,13,13,13,13,1630
none,13,13,12,40,13,50,13,13,13,13,13,11,13,13,13,13,13,20,6200
none,13,13,13,13,13,13,13,13,20,13,13,20,13,13,13,13,13,20,1440
none,13,13,13,13,14,13,13,13,13,13,13,16,13,13,13,13,13,13,1651
none,13,13,13,13,13,13,13,13,13,13,13,50,13,13,13,13,13,60,3400
none,13,13,13,13,13,16,13,13,13,13,60,13,13,13,13,13,13,60,3339
none,13,13,13,13,13,13,13,13,13,13,13,13,16,20,20,13,13,13,1660
none,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,16,1419
none,13,13,13,13,13,20,20,16,13,13,13,13,20,13,13,13,13,13,1652
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,12,14,13,40,13,13,13,13,13,13,16,13,13,13,12,13,13,4200
none,13,13,13,13,13,13,13,13,13,13,13,14,13,13,13,13,13,13,1653
none,13,13,12,13,13,50,13,13,13,13,13,16,13,13,13,13,13,13,6120
none,13,13,13,13,13,13,13,13,13,13,13,60,13,13,13,13,13,16,5510
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,15,40,13,13,13,13,16,13,13,13,13,13,12,1500
none,13,13,13,13,13,16,13,13,13,13,60,13,13,13,13,13,13,60,3339
none,13,13,13,13,13,13,13,13,13,13,13,50,13,13,13,13,13,60,3400
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,11,40,13,13,13,13,13,13,13,13,13,13,13,40,3229
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,13,13,13,13,13,13,13,50,13,13,13,13,13,60,3400
none,13,13,13,13,13,13,13,13,13,13,13,60,13,13,13,13,13,16,5510
none,13,13,13,13,13,50,13,13,13,12,13,13,13,13,13,13,13,13,6110
none,13,13,13,13,13,16,13,13,13,13,13,16,13,13,13,13,13,13,1651
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,12,14,13,40,13,13,13,13,13,13,16,13,13,13,12,13,13,4200
none,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
none,13,13,13,13,15,50,13,13,13,13,13,60,13,12,13,13,13,16,5100
