index,clustered_label,0,1,2,3
0,3520,1,1,1,1
1,4244,1,1,1,1
2,4241,1,0,0,0
3,4244,1,1,1,1
4,6200,1,1,1,0
5,3520,1,1,1,0
6,4110,1,1,1,1
7,4244,1,1,1,1
8,4300,1,0,0,0
9,5240,1,1,1,1
10,4244,1,1,1,1
11,5240,1,1,1,1
12,1450,1,1,1,1
13,4210,1,1,1,1
14,4244,1,1,0,0
15,1300,1,1,1,1
16,6400,1,1,1,0
17,3200,1,1,1,1
18,3400,1,1,0,0
19,4244,1,1,1,1
20,4244,1,1,1,0
21,6300,1,1,1,1
22,4410,0,0,0,0
23,4220,1,1,1,1
24,6100,1,1,1,0
25,7400,1,1,1,1
26,3140,1,1,1,1
27,3200,0,0,0,0
28,4140,1,1,0,0
29,1450,1,1,0,0
30,5230,1,1,1,1
31,4440,1,1,1,1
32,5250,1,1,1,1
33,1460,1,1,1,1
34,4243,1,1,1,1
35,5220,1,1,1,0
36,5240,1,1,1,1
37,3520,1,1,1,1
38,4244,1,1,0,0
39,1450,1,1,0,0
40,5260,1,1,1,0
41,4600,0,0,0,0
42,4242,1,1,1,1
43,5100,1,1,1,1
44,4210,1,1,0,0
45,8100,1,1,1,1
46,2400,1,1,1,1
47,3600,1,0,0,0
48,1419,1,1,1,1
49,2400,1,1,1,1
50,4440,1,1,1,1
51,5600,1,1,1,1
52,1409,1,1,1,1
53,8400,1,1,1,1
54,5220,1,1,0,0
55,4800,1,1,1,0
56,3320,1,1,1,0
57,4246,1,1,1,1
58,2300,1,1,0,0
59,9000,1,1,0,0
60,4420,1,1,1,1
61,3520,1,1,1,1
62,1430,1,1,1,1
63,1200,1,1,1,1
64,3310,1,1,1,1
65,4245,1,1,1,1
66,2300,1,1,1,1
67,6200,1,1,1,1
68,4500,1,1,1,1
69,4244,1,1,0,0
70,5240,1,1,1,1
71,4600,1,1,1,1
72,3200,1,1,1,1
73,5400,1,1,1,1
74,3600,1,1,0,0
75,5500,1,1,1,0
76,4244,1,1,1,1
77,1440,1,1,1,1
78,4440,1,1,1,1
79,4220,1,1,1,0
80,4244,1,1,1,0
81,4120,1,1,1,1
82,3520,1,1,1,1
83,7200,0,0,0,0
84,4244,1,1,1,0
85,8300,1,1,0,0
86,4244,1,1,1,1
87,1450,1,1,1,1
88,5220,1,1,1,1
89,4244,1,1,0,0
90,4800,1,1,1,1
91,4244,0,0,0,0
92,4243,1,1,1,1
93,4130,1,1,0,0
94,4440,1,0,0,0
95,5230,1,1,1,1
96,8200,1,1,1,1
97,3400,1,0,0,0
98,4243,1,1,0,0
99,3530,1,1,1,0
100,4246,1,1,1,0
101,4250,1,1,1,1
102,4242,0,0,0,0
103,4244,1,1,1,1
104,4244,1,1,1,0
105,4220,1,1,1,1
106,4244,1,1,1,1
107,3200,1,1,1,1
108,1100,1,0,0,0
109,2100,1,0,0,0
110,4300,1,1,1,1
111,4429,1,1,1,1
112,4700,1,1,1,1
113,4429,1,1,1,1
114,3530,1,1,0,0
115,4244,1,1,1,1
116,4800,1,1,1,1
117,3339,1,0,0,0
118,3540,1,1,0,0
119,4260,1,1,1,1
120,4242,1,1,1,0
121,4244,1,1,1,0
122,2300,1,1,1,1
123,4242,1,1,1,1
124,4244,1,1,0,0
125,4220,1,1,1,1
126,3130,1,1,1,1
127,4230,1,1,1,1
128,4420,1,1,0,0
129,5210,1,1,0,0
130,3110,1,1,1,1
131,4244,1,1,1,0
132,4130,1,1,1,1
133,4242,1,1,1,1
134,2200,1,1,1,0
135,4244,1,1,1,0
136,7100,0,0,0,0
137,7300,0,0,0,0
138,3510,1,0,0,0
139,4244,1,1,0,0
140,4243,1,1,1,0
141,5300,1,1,1,1
142,5300,1,0,0,0
143,4244,1,0,0,0
