clustered_label,0,1,2,3
3520,1,1,0,0
4244,0,0,0,0
4241,1,0,0,0
4244,1,0,0,0
6200,1,0,0,0
3520,1,0,0,0
4110,0,0,0,0
4244,1,1,0,0
4300,0,0,0,0
5240,1,0,0,0
4244,0,0,0,0
5240,0,0,0,0
1450,1,1,0,0
4210,0,0,0,0
4244,1,1,0,0
1300,0,0,0,0
6400,0,0,0,0
3200,0,0,0,0
3400,0,0,0,0
4244,1,0,0,0
4244,1,0,0,0
6300,0,0,0,0
4410,1,0,0,0
4220,0,0,0,0
6100,1,1,0,0
7400,0,0,0,0
3140,0,0,0,0
3200,1,1,0,0
4140,0,0,0,0
1450,1,0,0,0
5230,0,0,0,0
4440,0,0,0,0
5250,0,0,0,0
1460,0,0,0,0
4243,0,0,0,0
5220,1,0,0,0
5240,0,0,0,0
3520,1,0,0,0
4244,1,0,0,0
1450,1,1,1,1
5260,1,1,0,0
4600,1,0,0,0
4242,0,0,0,0
5100,0,0,0,0
4210,0,0,0,0
8100,0,0,0,0
2400,0,0,0,0
3600,0,0,0,0
1419,0,0,0,0
2400,1,1,0,0
4440,0,0,0,0
5600,0,0,0,0
1409,0,0,0,0
8400,0,0,0,0
5220,1,0,0,0
4800,1,0,0,0
3320,1,0,0,0
4246,1,1,0,0
2300,1,1,0,0
9000,1,0,0,0
4420,0,0,0,0
3520,1,1,1,0
1430,0,0,0,0
1200,0,0,0,0
3310,0,0,0,0
4245,1,0,0,0
2300,0,0,0,0
6200,0,0,0,0
4500,1,1,1,0
4244,1,1,0,0
5240,0,0,0,0
4600,0,0,0,0
3200,0,0,0,0
5400,0,0,0,0
3600,0,0,0,0
5500,0,0,0,0
4244,0,0,0,0
1440,1,0,0,0
4440,1,0,0,0
4220,0,0,0,0
4244,0,0,0,0
4120,1,1,1,0
3520,0,0,0,0
7200,0,0,0,0
4244,1,0,0,0
8300,0,0,0,0
4244,1,0,0,0
1450,0,0,0,0
5220,0,0,0,0
4244,1,0,0,0
4800,1,0,0,0
4244,0,0,0,0
4243,0,0,0,0
4130,0,0,0,0
4440,0,0,0,0
5230,0,0,0,0
8200,1,1,1,0
3400,0,0,0,0
4243,0,0,0,0
3530,0,0,0,0
4246,1,1,0,0
4250,1,1,1,0
4242,0,0,0,0
4244,0,0,0,0
4244,0,0,0,0
4220,1,1,1,1
4244,1,0,0,0
3200,1,0,0,0
1100,1,1,0,0
2100,0,0,0,0
4300,0,0,0,0
4429,0,0,0,0
4700,1,0,0,0
4429,0,0,0,0
3530,0,0,0,0
4244,0,0,0,0
4800,0,0,0,0
3339,0,0,0,0
3540,1,0,0,0
4260,0,0,0,0
4242,0,0,0,0
4244,0,0,0,0
2300,1,0,0,0
4242,0,0,0,0
4244,0,0,0,0
4220,0,0,0,0
3130,0,0,0,0
4230,0,0,0,0
4420,0,0,0,0
5210,0,0,0,0
3110,0,0,0,0
4244,0,0,0,0
4130,1,0,0,0
4242,1,1,0,0
2200,0,0,0,0
4244,0,0,0,0
7100,1,1,0,0
7300,0,0,0,0
3510,0,0,0,0
4244,1,0,0,0
4243,0,0,0,0
5300,0,0,0,0
5300,1,1,0,0
4244,0,0,0,0
